,rcept_no,reprt_code,bsns_year,corp_code,stock_code,매출액,영업이익,자산총계
0,20150626000180,11011,2015,00145686,000760,"82,960,066,928","35,978,018","273,316,937,123"
1,20150626000261,11011,2015,00108977,006370,"158,152,062,513","1,283,842,632","623,073,741,252"
2,20150629000184,11011,2015,00144818,000220,"62,816,222,711","1,370,930,981","101,400,549,721"
3,20150629000285,11011,2015,00159731,019660,"18,646,233,892","5,998,381,178","12,805,835,476"
4,20150629000397,11011,2015,00159573,000970,"315,476,201,899","10,344,081,877","300,739,840,129"
5,20150629000456,11011,2015,00106614,092440,"122,691,700,639","20,750,052,223","243,973,939,326"
6,20150629000457,11011,2015,00118008,018500,"408,717,608,405","12,163,475,654","416,663,075,279"
7,20150629000524,11011,2015,00122205,018700,"29,285,587,224","-10,330,457,675","26,672,162,762"
8,20150629000563,11011,2015,00378363,060310,"23,210,541,648","-4,157,989,321","67,359,971,696"
9,20150629000590,11011,2015,00201432,054220,"85,543,984,940","-16,032,128,864","143,268,770,706"
10,20150813001112,11011,2015,00157104,008110,"42,269,860,520","-2,859,680,454","157,202,276,798"
11,20150921000093,11011,2015,00441243,093240,"85,394,315,632","1,138,460,926","188,019,457,825"
12,20150923000335,11011,2015,00154718,082920,"82,163,325,743","10,821,849,949","97,993,819,940"
13,20150925000247,11011,2015,00939942,189690,"13,138,391,149","4,180,523,239","41,629,715,336"
14,20150925000365,11011,2015,00138747,050860,"99,447,047,974","2,915,923,093","86,364,227,398"
15,20150930000147,11011,2015,00367385,097870,"40,849,624,740","8,884,996,374","70,569,534,501"
16,20150930000168,11011,2015,00120872,001080,"232,143,976,145","6,827,856,076","272,332,303,272"
17,20150930000269,11011,2015,00136341,005390,"858,398,953,662","38,419,338,086","671,394,324,851"
18,20150930000402,11011,2015,00134316,021820,"366,602,546,395","60,125,566,553","603,983,799,879"
19,20151111000297,11011,2015,00125576,033250,"58,673,590,187","-2,991,995,542","86,353,573,117"
20,20151127000128,11011,2015,00155373,093380,"89,382,644,314","1,464,468,718","86,907,260,315"
21,20151229000044,11011,2015,00349060,042520,"23,428,387,646","5,058,040,318","52,112,309,446"
22,20151229000046,11011,2015,00122348,003610,"161,549,573,391","6,498,861,171","259,201,088,335"
23,20151229000090,11011,2015,00168401,008870,"189,495,055,962","15,280,448,386","231,838,030,953"
24,20151229000310,11011,2015,00145914,017250,"84,759,602,612","2,557,445,953","121,879,240,405"
25,20160307000365,11011,2015,00268002,036630,"157,829,434,052","523,015,589","160,112,078,015"
26,20160316000101,11011,2015,00134477,003570,"504,444,993,403","38,471,397,490","921,662,680,320"
27,20160316000102,11011,2015,00225159,036530,"1,612,746,929,364","161,533,663,802","2,169,311,304,718"
28,20160316000346,11011,2015,00398792,064960,"1,210,524,500,386","123,133,839,567","1,172,763,189,575"
29,20160318000211,11011,2015,00524421,095610,"100,346,778,178","9,478,897,595","120,616,313,739"
30,20160322000228,11011,2015,00411446,066310,"25,495,218,657","1,402,430,637","55,734,971,858"
31,20160322000434,11011,2015,00415707,069410,"45,306,214,227","-3,503,242,667","51,116,244,223"
32,20160323000159,11011,2015,00140955,014680,"368,026,063,018","49,001,547,377","521,035,796,856"
33,20160324000421,11011,2015,00146542,008500,"68,103,444,690","3,612,170,680","69,075,802,854"
34,20160325000129,11011,2015,00121932,002840,"239,436,981,189","18,451,265,174","231,194,649,534"
35,20160325000140,11011,2015,00159342,025770,"271,599,514,000","32,408,050,000","207,992,388,000"
36,20160325000152,11011,2015,00442455,082660,"263,647,344,426","5,262,825,029","193,477,266,096"
37,20160325000277,11011,2015,00117027,001780,"433,853,367,277","24,032,264,994","429,140,446,746"
38,20160325000518,11011,2015,00199076,032960,"28,501,760,524","1,784,953,245","59,911,236,118"
39,20160325000594,11011,2015,00184889,039020,"160,792,987,024","-5,843,768,167","247,656,464,479"
40,20160325000632,11011,2015,00855093,136490,"603,419,952,408","27,870,886,392","437,278,250,497"
41,20160325000678,11011,2015,00359580,054800,"400,014,263,163","40,374,284,567","544,009,361,675"
42,20160325000785,11011,2015,00264255,043150,"217,358,784,985","40,993,860,771","270,205,260,108"
43,20160325001022,11011,2015,00552992,109820,"5,315,268,033","-2,161,991,874","20,781,912,088"
44,20160325001037,11011,2015,00168331,005320,"170,296,068,315","8,655,834,119","93,758,552,433"
45,20160325001332,11011,2015,00147082,049630,"164,069,078,248","3,986,557,451","155,496,512,020"
46,20160325001424,11011,2015,00409371,079950,"89,512,778,924","4,587,650,210","87,230,412,138"
47,20160325001524,11011,2015,00614593,137940,"26,565,766,452","2,741,035,455","46,268,860,183"
48,20160328000026,11011,2015,00399694,067160,"62,867,913,447","7,634,442,468","68,044,829,047"
49,20160328000077,11011,2015,00422895,067830,"187,041,021,949","35,458,956,035","527,906,656,347"
50,20160328000218,11011,2015,00807397,121850,"26,005,033,957","-1,498,763,992","58,006,986,695"
51,20160328000220,11011,2015,00818472,160600,"55,853,400,328","7,280,045,792","53,475,498,348"
52,20160328000296,11011,2015,00449379,067990,"662,318,535,690","4,854,838,852","391,118,249,873"
53,20160328000337,11011,2015,00269612,047310,"581,430,662,200","9,415,996,543","290,397,093,727"
54,20160328000415,11011,2015,00398701,066970,"235,128,640,553","-1,953,219,680","168,390,495,196"
55,20160328000417,11011,2015,00102140,009140,"28,337,543,303","1,670,956,036","64,239,944,387"
56,20160328000458,11011,2015,00127200,005680,"221,276,798,834","11,675,246,453","486,762,191,679"
57,20160328000495,11011,2015,00945208,161570,"40,713,758,072","145,126,072","58,393,618,832"
58,20160328000548,11011,2015,00176835,054050,"18,896,438,347","756,059,120","216,946,680,011"
59,20160328000559,11011,2015,00155212,022100,"840,545,681,528","13,968,816,472","693,941,423,716"
60,20160328000638,11011,2015,00480048,080420,"89,569,440,587","11,664,837,167","124,530,772,816"
61,20160328000714,11011,2015,00173944,105840,"105,956,173,872","1,348,192,303","195,233,365,820"
62,20160328000748,11011,2015,00516246,096610,"57,248,130,014","3,000,488,125","89,437,401,056"
63,20160328000777,11011,2015,00340917,049770,"1,931,040,795,613","77,065,526,979","952,430,434,472"
64,20160328000796,11011,2015,00109754,005750,"180,938,863,292","12,127,538,693","281,739,516,791"
65,20160328000802,11011,2015,00540863,083450,"84,422,578,884","6,011,587,754","69,691,968,089"
66,20160329000042,11011,2015,00206659,054210,"616,138,232,658","22,292,393,703","420,268,051,248"
67,20160329000055,11011,2015,00491053,086060,"52,256,320,975","1,066,768,305","49,210,506,301"
68,20160329000111,11011,2015,00260383,006650,"1,726,962,269,429","271,184,229,537","1,529,064,057,909"
69,20160329000194,11011,2015,00442905,104040,"44,267,460,213","5,346,536,813","59,130,274,300"
70,20160329000196,11011,2015,00148920,004910,"189,482,108,957","18,318,055,295","240,788,271,189"
71,20160329000225,11011,2015,00596677,093520,"73,526,238,829","6,730,888,903","79,015,515,685"
72,20160329000239,11011,2015,00267979,007770,"107,202,889,920","2,610,494,870","110,998,366,829"
73,20160329000247,11011,2015,00258360,036090,"32,101,126,464","3,785,239,637","53,256,225,147"
74,20160329000250,11011,2015,00557933,088790,"121,729,207,408","5,154,400,531","150,834,580,148"
75,20160329000256,11011,2015,00763358,136510,"9,164,934,800","327,550,155","25,314,429,740"
76,20160329000274,11011,2015,00353878,058730,"135,394,761,965","10,376,844,108","128,773,588,894"
77,20160329000310,11011,2015,00104388,007690,"1,011,877,773,027","77,969,150,965","681,283,305,542"
78,20160329000336,11011,2015,00255044,039010,"78,671,419,219","8,645,211,431","63,370,762,142"
79,20160329000345,11011,2015,00133618,002420,"5,477,133,640","-891,102,701","45,133,360,413"
80,20160329000425,11011,2015,00260392,006340,"443,672,415,972","9,830,541,506","214,471,795,868"
81,20160329000434,11011,2015,00108001,091590,"50,407,653,521","-1,508,090,004","139,397,977,763"
82,20160329000437,11011,2015,00351630,053450,"244,865,300,197","12,784,102,357","241,551,275,182"
83,20160329000439,11011,2015,00163716,005110,"17,167,064,630","-3,350,063,844","67,607,183,866"
84,20160329000459,11011,2015,00129387,000390,"507,187,889,565","31,691,166,120","511,933,171,523"
85,20160329000492,11011,2015,00273439,041920,"46,739,956,502","7,923,779,907","44,440,741,503"
86,20160329000497,11011,2015,00177199,024090,"106,154,561,113","6,250,259,455","163,227,897,417"
87,20160329000529,11011,2015,00416654,072130,"41,156,826,604","643,152,801","62,111,451,499"
88,20160329000533,11011,2015,00124027,011390,"109,323,137,513","11,148,967,422","114,238,770,834"
89,20160329000542,11011,2015,00166519,000850,"199,324,536,930","11,082,779,634","340,734,967,739"
90,20160329000555,11011,2015,00531014,084370,"94,672,562,665","18,569,982,239","201,592,334,437"
91,20160329000568,11011,2015,00133663,053060,"131,633,717,838","-3,376,784,498","126,126,165,577"
92,20160329000641,11011,2015,00264732,038950,"83,117,416,817","-1,358,745,138","110,500,489,896"
93,20160329000644,11011,2015,00220969,045060,"136,594,358,450","5,129,170,192","117,864,590,789"
94,20160329000647,11011,2015,00405959,115570,"79,179,678,488","7,948,893,882","131,611,037,591"
95,20160329000660,11011,2015,00479705,079190,"65,423,312,649","-3,437,947,189","106,282,803,332"
96,20160329000664,11011,2015,00612489,214430,"38,981,759,802","5,118,114,671","71,463,505,677"
97,20160329000667,11011,2015,00180263,016100,"172,780,392,905","34,435,498,926","180,865,055,791"
98,20160329000676,11011,2015,00152127,036710,"156,144,132,611","2,266,402,768","586,389,796,691"
99,20160329000685,11011,2015,01036367,203690,"14,834,938,388","6,092,742,536","43,284,181,407"
100,20160329000689,11011,2015,01095722,222800,"395,470,686,385","19,462,720,286","548,348,696,814"
101,20160329000693,11011,2015,00103592,009290,"955,453,631,838","50,866,462,182","663,786,480,731"
