,0,1
0,국토교통부_단독/다가구 전월세 자료 < /a >,부동산 거래신고에 관한 법률에 따라 신고된 주택의 실거래 자료를 제공
1,국토교통부_토지이용계획정보서비스 < /a >,국토의 이용현황을 주제별(용도지역지구)로 제공
2,국토교통부_토지소유정보서비스 < /a >,국토의 이용현황을 주제별(용도지역지구)로 제공
3,국토교통부_GIS건물통합정보조회서비스 < /a >,건축물 위치자료와 속성자료를 식별자로 연계한 건물통합정보 제공(GIS건물통합정보)
4,국토교통부_아파트매매 실거래 상세 자료 < /a >,부동산 거래신고에 관한 법률에 따라 신고된 주택의 실거래 자료를 제공
5,국토교통부_오피스텔 전월세 신고 조회 서비스 < /a >,부동산 거래신고에 관한 법률에 따라 신고된 주택의 실거래 자료를 제공
6,국토교통부_표준지공시지가정보서비스 < /a >,"토지의 단위면적당 공시가격, 공동/개별 주택가격 등 전국의 부동산 관련 공부 정보를 제공"
7,국토교통부_공동주택 기본 정보제공 서비스 < /a >,(공동주택 기본정보)공동주택관리정보시스템에 가입한 단지의 기본정보 및 상세정보 제공
8,국토교통부_건축물대장정보 서비스 < /a >,"건축물대장에서 관리하고 있는 총괄표제부, 표제부, 층별개요, 부속지번, 전유공용면적,
오수정화시설, 주택가격, 전유부, 지역지구구역 등 속성정보(대용량 원시DB)

* 데이터 포멧 요청변수: & amp; _type = xml or & _type = json(생략 시 xml로 기본 제공)"
9,국토교통부_공동주택 단지 목록제공 서비스,(공동주택 단지정보)공동주택관리정보시스템에 가입한 단지의 목록을 제공
10,국토교통부_토지 매매 신고 조회 서비스,부동산 거래신고에 관한 법률에 따라 신고된 주택의 실거래 자료를 제공
11,국토교통부_오피스텔 매매 신고 조회 서비스,부동산 거래신고에 관한 법률에 따라 신고된 주택의 실거래 자료를 제공
12,국토교통부_부동산정보WFS서비스,"법률로 지정된 행정구역 단위, 지적도 전산파일의 연속된 형태의 GIS데이터,
토지에 관련된 속성 정보, 측량의 기초가 되는 지적측량기준점 정보 등
부동산에 관한 종합정보 제공"
13,국토교통부_아파트 분양권전매 신고 자료,부동산 거래신고에 관한 법률에 따라 신고된 주택의 실거래 자료를 제공
14,한국토지주택공사_공공임대주택 단지정보 조회 서비스,LH공사에서 관리하는 공공임대주택의 단지 정보 제공
15,국토교통부_단독/다가구 전월세 자료,부동산 거래신고에 관한 법률에 따라 신고된 주택의 실거래 자료를 제공
16,국토교통부_토지이용계획정보서비스,국토의 이용현황을 주제별(용도지역지구)로 제공
17,국토교통부_토지소유정보서비스,국토의 이용현황을 주제별(용도지역지구)로 제공
18,국토교통부_GIS건물통합정보조회서비스,건축물 위치자료와 속성자료를 식별자로 연계한 건물통합정보 제공(GIS건물통합정보)
19,국토교통부_아파트매매 실거래 상세 자료,부동산 거래신고에 관한 법률에 따라 신고된 주택의 실거래 자료를 제공
20,국토교통부_오피스텔 전월세 신고 조회 서비스,부동산 거래신고에 관한 법률에 따라 신고된 주택의 실거래 자료를 제공
21,국토교통부_표준지공시지가정보서비스,"토지의 단위면적당 공시가격, 공동/개별 주택가격 등 전국의 부동산 관련 공부 정보를 제공"
22,국토교통부_공동주택 기본 정보제공 서비스,(공동주택 기본정보)공동주택관리정보시스템에 가입한 단지의 기본정보 및 상세정보 제공
23,국토교통부_건축물대장정보 서비스,"건축물대장에서 관리하고 있는 총괄표제부, 표제부, 층별개요, 부속지번, 전유공용면적,
오수정화시설, 주택가격, 전유부, 지역지구구역 등 속성정보(대용량 원시DB)

* 데이터 포멧 요청변수 : &_type=xml or &_type=json  (생략 시 xml로 기본 제공)"
