,rcept_no,bsns_year,account_nm,fs_nm,sj_nm,stock_code,corp_code,thstrm_amount,법인명,정규직수,합계,연간급여총액
0,20190814002720,2018,자산총계,연결재무제표,재무상태표,007530,00140858,"134,639,823,010",영신금속,276.0,276.0,16227000000.0
1,20190401000221,2018,자산총계,연결재무제표,재무상태표,042600,00147994,"131,320,111,751",새로닉스,1323.0,1323.0,6001000000.0
2,20190329003144,2018,자산총계,연결재무제표,재무상태표,066910,00306870,"46,444,144,663",손오공,95.0,95.0,3046816000.0
3,20190401001165,2018,자산총계,연결재무제표,재무상태표,069080,00405320,"396,789,198,501",웹젠,568.0,573.0,32161000000.0
4,20190329001461,2018,자산총계,연결재무제표,재무상태표,215100,01063990,"26,659,082,179",로보로보,44.0,44.0,1505385000.0
5,20200330003865,2019,자산총계,연결재무제표,재무상태표,007530,00140858,"133,117,063,914",영신금속,274.0,274.0,15428083000.0
6,20200330001949,2019,자산총계,연결재무제표,재무상태표,042600,00147994,"134,591,385,154",새로닉스,1397.0,1397.0,8623000000.0
7,20200330002217,2019,자산총계,연결재무제표,재무상태표,066910,00306870,"55,702,503,911",손오공,94.0,94.0,3163681000.0
8,20200327001194,2019,자산총계,연결재무제표,재무상태표,069080,00405320,"413,962,494,737",웹젠,548.0,557.0,33291000000.0
9,20200330002733,2019,자산총계,연결재무제표,재무상태표,115440,00664048,"94,123,632,804",우리넷,140.0,142.0,9766397000.0
10,20200327000750,2019,자산총계,연결재무제표,재무상태표,215100,01063990,"27,198,177,308",로보로보,47.0,47.0,1627439000.0
11,20210316000891,2020,자산총계,연결재무제표,재무상태표,007530,00140858,"133,387,944,596",영신금속,291.0,291.0,13670739000.0
12,20210322000440,2020,자산총계,연결재무제표,재무상태표,042600,00147994,"138,805,991,891",새로닉스,1499.0,1499.0,7360000000.0
13,20210329001062,2020,자산총계,연결재무제표,재무상태표,066910,00306870,"53,273,540,288",손오공,101.0,101.0,3340106000.0
14,20210311000605,2020,자산총계,연결재무제표,재무상태표,069080,00405320,"542,700,243,820",웹젠,554.0,562.0,34425000000.0
15,20210416000559,2020,자산총계,연결재무제표,재무상태표,115440,00664048,"99,776,610,888",우리넷,152.0,157.0,9810835000.0
16,20210312000185,2020,자산총계,연결재무제표,재무상태표,215100,01063990,"24,874,381,440",로보로보,40.0,40.0,1436359000.0
17,20210316000357,2020,자산총계,연결재무제표,재무상태표,339950,01414422,"59,472,719,941",아이비김영,194.0,198.0,7816948141.0
