,종목코드
0,224090
1,033030
2,031950
3,026230
4,134000
5,016560
6,040670
7,121550
8,043890
9,102000
10,013450
11,067130
12,099210
13,056340
14,158380
15,037630
16,044440
17,119250
18,187770
19,010520
20,092970
21,003940
22,052350
23,181980
24,026250
25,038320
26,035210
27,008900
28,010460
29,084450
30,008720
31,000420
32,014350
33,001300
34,139170
35,053870
36,052880
37,033280
38,138440
39,003600
40,103650
41,051710
42,110500
43,072430
44,010150
45,101380
46,082240
47,082260
48,082250
49,207930
50,215580
51,207720
52,204650
53,215750
54,110570
55,189700
56,156170
57,085980
58,232290
59,233190
60,232360
61,139200
62,206660
63,005620
64,260490
65,083620
66,208870
67,104120
68,104110
69,061460
70,192240
71,204440
72,036500
73,083350
74,219580
75,086200
76,222390
77,256090
78,218710
79,221200
80,219860
81,217810
82,223040
83,221950
84,219960
85,252940
86,246830
87,062580
88,230490
89,235090
90,016170
91,051170
92,226850
93,237720
94,008000
95,207230
96,095300
97,090730
98,130960
99,225440
100,024660
101,004130
102,026260
103,087220
104,052290
105,235010
106,232270
107,038990
108,047060
109,082220
110,168490
111,123100
112,167380
113,046400
114,240540
115,099830
116,272420
117,007910
118,094800
119,111610
120,251540
121,144740
122,242420
123,140890
124,015170
125,030950
126,250300
127,230400
128,265480
129,135270
130,257730
131,229480
132,226610
133,247300
134,264290
135,039530
136,122050
137,176560
138,077280
139,023430
140,079660
141,026220
142,265920
143,026180
144,232330
145,242850
146,262760
147,262830
148,179440
149,122800
150,007150
151,999980
152,252370
153,210610
154,271400
155,043580
156,271740
157,065180
158,083380
159,047440
160,204690
161,041500
162,098400
163,159650
164,065310
165,004740
166,205290
167,189540
168,185280
169,094700
170,046840
171,123260
172,007530
173,069080
174,115440
175,305090
176,066910
177,042600
178,331520
179,086220
180,215100
181,355150
182,339950
183,233250
184,033270
185,004200
186,035200
187,263860
188,025320
189,012690
190,004870
191,276920
192,005950
193,264660
194,004450
195,334890
196,239890
197,215050
198,003380
199,033020
200,052710
201,251960
202,284610
203,065570
204,290510
205,220110
206,084690
207,196300
208,347890
209,096040
210,142760
211,081970
212,083930
213,134380
214,090370
215,270210
216,363280
217,244880
218,318010
219,163560
220,037350
221,222980
222,155900
223,340350
224,348350
225,323350
226,036710
227,068050
228,304100
229,248070
230,300120
231,005690
232,052860
233,183300
234,311390
235,098660
236,118990
237,054450
238,036640
239,004830
240,001390
241,208860
242,266870
243,104700
244,001940
245,163730
246,083370
247,232530
248,041920
249,155650
250,250930
251,277880
252,147760
253,293480
254,007860
255,092780
256,065370
257,088980
258,293580
259,011150
260,226950
261,192400
262,009580
263,352940
264,036890
265,099220
266,108790
267,108490
268,042000
269,257990
270,018250
271,278650
272,290270
273,207490
274,222670
275,066830
276,343510
277,037030
278,120030
279,277480
280,025000
281,290550
282,285770
283,091700
284,087260
285,217950
286,005870
287,306200
288,009270
289,090410
290,290740
291,019170
292,066350
293,039440
294,039840
295,256150
296,122450
297,204020
298,053050
299,080160
300,254120
301,011320
302,175250
303,122310
304,009720
305,069640
306,001430
307,014590
308,278380
309,241510
310,263810
311,035430
312,037760
313,152330
314,000440
315,246250
316,221840
317,064850
318,279060
319,090460
320,220250
321,038390
322,036480
323,039130
324,045660
325,086060
326,099350
327,099340
328,215570
329,002300
330,224760
331,291210
332,353070
333,353060
334,313760
335,002480
336,332570
337,024890
338,193250
339,025980
340,263700
341,140670
342,093520
343,177830
344,225190
345,236810
346,277810
347,214180
348,123890
349,342550
350,030270
351,191420
352,005740
353,348150
354,051160
355,048770
356,060540
357,009280
358,264900
359,204620
360,246710
361,290380
362,337450
363,000990
364,309900
365,035480
366,052510
367,001420
368,178320
369,276240
370,318000
371,347140
372,065450
373,002720
374,014790
375,208850
376,032820
377,072130
378,279410
379,009200
380,001440
381,304840
382,344050
383,109860
384,290660
385,281410
386,352700
387,218410
388,348210
389,196170
390,317330
391,177350
392,263800
393,263690
394,317770
395,256940
396,004710
397,214430
398,115960
399,001570
400,272550
401,003960
402,297570
403,002600
404,181710
405,341160
406,073110
407,251970
408,149300
409,082640
410,071320
411,140910
412,900270
413,198080
414,250030
415,130580
416,148250
417,250000
418,053290
419,310200
420,253590
421,052900
422,341310
423,290720
424,126880
425,123570
426,149940
427,317400
428,036720
429,040130
430,055000
431,032600
432,037600
433,056140
434,012400
435,045880
436,037830
437,030390
438,041320
439,078420
440,046350
441,013650
442,015390
443,019640
444,058690
445,024100
446,035400
447,026540
448,016510
449,036790
450,038830
451,037110
452,020070
453,007490
454,017300
455,001950
456,056850
457,082110
458,045760
459,062730
460,055250
461,022520
462,004620
463,089240
464,045260
465,032380
466,009690
467,035710
468,114410
469,002540
470,012420
471,034660
472,065340
473,043680
474,035010
475,048640
476,103150
477,040740
478,066690
479,038420
480,084810
481,067850
482,086720
483,054170
484,054010
485,001190
486,033720
487,078700
488,076850
489,048510
490,030030
491,042870
492,021060
493,036270
494,037510
495,032030
496,004660
497,043630
498,013240
499,093820
500,052310
501,001370
502,008400
503,017010
504,011050
505,065410
506,044640
507,051820
508,046240
509,060750
510,043790
511,088020
512,094950
513,052210
514,032930
515,061050
516,014010
517,007800
