,정규직수
0,59
1,8
2,272
3,119
4,66
5,45
6,14
7,3
8,51
9,10
10,494
11,30
12,37
13,11
14,82
15,7
16,86
17,31
18,1494
19,505
20,12
21,3
22,20
23,4
24,122
25,16
26,309
27,144
28,49
29,11
30,190
31,331
32,26
33,1
34,100
35,9
36,37
37,20
38,3289
39,4012
40,732
41,874
42,37
43,58
44,50
45,81
46,4
47,10
48,432
49,546
50,350
51,262
52,5174
53,808
54,226
55,210
56,4595
57,1378
58,1017
59,308
60,346
61,153
62,1149
63,4143
64,193
65,118
66,134
67,80
68,131
69,63
70,3
71,3
72,28
73,8
74,13
75,4
76,48
77,12
78,43
79,79
80,49
81,7
82,3
83,223
84,54
85,31
86,11
87,306
88,124
89,101
90,30
91,100
92,57
93,255
94,281
95,1979
96,2513
97,1035
98,907
99,71
100,9
101,148
102,106
103,830
104,25
105,1024
106,69
107,1344
108,96
109,331
110,50
111,569
112,24
113,244
114,8
115,84
116,1
117,45
118,6
119,174
120,31
121,304
122,37
123,10
124,2
125,148
126,28
127,112
128,13
129,242
130,20
131,37
132,43
133,5
134,9
135,24
136,1
137,1
138,46
139,12
140,10
141,1
142,6
143,2
144,5
145,3
146,110
147,49
148,3
149,6
150,1
151,0
152,18
153,115
154,192
155,61
156,41
157,23
158,16
159,5
160,4
161,87
162,2
163,832
164,1002
165,0
166,0
167,0
168,0
169,0
170,0
171,22
172,5
173,548
174,31
175,2171
176,187
177,1283
178,37
179,552
180,8
181,690
182,85
183,169
184,57
185,2014
186,602
187,1213
188,3510
189,195
190,1321
191,659
192,346
193,105
194,17
195,2492
196,226
197,240
198,20
199,77
200,16
201,248
202,26
203,205
204,19
205,59
206,8
207,18
208,2
209,32
210,9
211,21
212,6
213,123
214,6
215,201
216,16
217,104
218,7
219,54
220,4
221,226
222,40
223,707
224,27
225,1335
226,28
227,801
228,13
229,40
230,9
231,9
232,3
233,9
234,8
235,10
236,5
237,7
238,5
239,21
240,13
241,34
242,46
243,6
244,6
245,26
246,19
247,5
248,0
249,6
250,41
251,587
252,262
253,329
254,4
255,119
256,22
257,762
258,17
259,397
260,343
261,88
262,32
263,57
264,14
265,34
266,32
267,264
268,375
269,7
270,180
271,51
272,245
273,29
274,903
275,244
276,95
277,42
278,111
279,112
280,124
281,23
282,81
283,8
284,12
285,15
286,153
287,68
288,160
289,25
290,188
291,63
292,316
293,5
294,193
295,20
296,41
297,8
298,181
299,4
300,48
301,2
302,23
303,16
304,21
305,4
306,82
307,2
308,15
309,7
310,6
311,2
312,8
313,1
314,11
315,1
316,10
317,0
318,7
319,0
320,1
321,0
322,11
323,1
324,13
325,2
326,6
327,2
328,153
329,24
330,40
331,3
332,422
333,183
334,48
335,12
336,71
337,639
338,51
339,82
340,50
341,128
342,83
343,105
344,17
345,81
346,11
347,1
348,17
349,4
350,12
351,0
352,41
353,7
354,105
355,22
356,9
357,3
358,85
359,13
360,12
361,5
362,17
363,7
364,3
365,1
366,43
367,8
